"","speech"
"11","Sir, I wish to congratulate the Singapore Muslim Religious Council (MUIS) for being able to organize and upgrade further its activities and streamlining its administration. Congratulations also to MUIS on the production of its comprehensive annual report which, in its new format, is attractive. A summary of MUIS's activities is recorded in this report. I merely wish to touch on two matters. The first concerns deviationist teachings. I had occasion to comment in this House on the misgivings of the local Muslim community regarding deviationist teachings. Recently, the Berita Harian carried reports about this while the Friday sermons drew attention to deviationist teachings being practised in several areas in Singapore. I seek elucidation from the Hon. Minister concerned as to the true position and the steps to be taken by MUIS and other Muslim organizations to combat and, if possible, eradicate completely deviationist teachings. The second point is about religious education in the madrasahs, suraus and mosques. I commend MUIS's efforts in providing courses to religious teachers. I would like to suggest that such courses be continued and that they be opened to all organizations which conduct their own religious classes. May I ask what further steps will be taken by MUIS to study and structure syllabuses in order to coordinate religious education in madrasahs, suraus and mosques for the benefit of the local Muslim community. I hope to hear a clarification from the Hon. Minister in charge."
"12","Sir, I share the views expressed by my colleagues. I would now like to mention something about the National Stadium Loan. Sir, it would be timely at this juncture for me to restate the plight of the Singapore Sports Council concerning the repayment of the loan of $60 million, owed by the Singapore Sports Council to the Government to build the National Stadium. I know, Sir, that this matter has been raised in this House year after year, without receiving a positive response. However, in view of the significant support advocated in the Budget Statement for Tourism, Travel, Entertainment, and now the building of the indoor stadium, perhaps due consideration could be extended to the promotion of sports in the Republic. Sir, the Singapore Sports Council has been paying interest annually, ranging from $155,000 to $1.6 million since 1975. This money is obtained from the annual surplus of the National Stadium Sports Centre and its car park. Perhaps this money could be utilized by the Singapore Sports Council to promote other sporting activities, for example, renovation of the track at the National Stadium, to air-condition the Squash Competition Courts at Kallang, to provide flood lights at the various stadiums for evening usage. I could add on to this list. Perhaps I would like clarification from the Minister whether 9 the Government would consider converting the loan into a grant."
"13","Sir, I have two amendments41 Nos. (4) and (13). 1 would like to talk on these amendments now. Sir, the moral education and, in the case of Muslim students, the teaching of Islamic Religious Knowledge (IRK) has been introduced in Secondary 3 and Secondary 4 for quite some time. I would like to know whether a review has been made on the teaching of IRK. What are the problems encountered in the implementation and the teaching of this subject? I am particularly concerned about two aspects. First, the selection and training of the IRK teachers. Second, the availability of instructional materials and textbooks. I would also like to know from the Minister whether this subject could also be introduced in the lower secondary classes in future. The second topic, Sir, is with regard to extra-curricular activities in schools. I am happy to know that the Ministry has always taken a keen interest in organizing outdoor activities, such as camping and outward bound school courses for secondary students. For those in the uniformed groups, the different types of outdoor 2 activities are organized normally during school holidays. I would like to know, Sir, what percentage of student population is attending these outdoor activities, Are there difficulties in getting teachers to volunteer to become officers in the various uniformed groups? Finally, Sir, I also understand that the supervision of sports, games and PE lessons in schools is no longer under the purview of the ECA Department in Rutland Road. I would like to get information as to when was this change made and what were the reasons for this change? I would be grateful if the Minister could enlighten me on those two queries I have made."
"14","Sir, I fully share the views expressed by the Member for Chong Boon with regard to physical education in our schools. In 1983, I asked the Minister for Education on the Ministry's plan to recruit some 700 PE teachers to meet the requirements of both primary and secondary schools. I was informed then that the College could only take an intake of 50 trainees per year. It would definitely take a long time before all vacancies of PE teachers are filled. 1 Sir, physical fitness is the very basis of our national defence, increased productivity, and a rugged society. The key to a finer people is an effective physical programme for all categories of pupils in our schools. However, a major obstacle to such a programme is the lack of full-time PE teachers who are qualified enough to implement the programme. The setting up of the PE College is definitely a welcome boost to physical education in our schools. In the meantime, Sir, what steps have been taken to implement the PE programme effectively? Are there in-service courses available for teachers who volunteer to conduct the various sports activities in our schools? I would also like to know whether the PE College has sufficiently trained staff and how many of them are local personnel. I firmly believe that proper and systematic teaching of physical fitness in our schools and junior colleges is important in getting our young men to be physically fit before they enter full-time national service training. I would like clarification and a progress report on the development of the PE College up to this date."
"15","Mr Deputy Speaker, Sir, I have two hawker centres in Pasir Panjang constituency, one in Dover Road, Block 33, and the other is at Pasir Panjang Road. I think there is a need for the Ministry to upgrade these two existing hawker centres. I understand that construction work is in progress to build more stalls at the Pasir Panjang Food Centre. This is a welcome move, especially to those workers in PSA and the neighbouring factories. I would like to enquire whether the Ministry would take advantage of the construction being 1 in progress to upgrade and renovate the old stalls as well so that the food centre as a whole would be a pleasant place for locals as well as for tourists who frequent this popular food centre. I would also like to know whether there are plans to improve the environment of this area, especially to increase and improve the car park facilities available at the Pasir Panjang Food Centre."
"16","Sir, Singapore has been quite successful in its efforts to contain the drug problem. This is due to the effective law enforcement and a pragmatic and systematic programme of compulsory treatment and rehabilitation of drug addicts. However, Sir, the drug scene is never stable. Correspondingly, the drug problem is not static. It is always changing. Currently, there is a serious rise in another drug related problem, that is, glue-sniffing. To indicate the seriousness of this problem, the Singapore Anti-Narcotics Association is now spearheading the national campaign against glue-sniffing and inhalant abuse. Sir, I would like to know whether the present laws are adequate. What further steps are being taken by the Ministry to reinforce the existing laws to combat this social) menace to bring down the number of cases relating to drug abuse problems. My next point, Sir, is about rehabilitation of drug addicts. I would like to compliment the Ministry of Home Affairs for taking tough remedial actions to isolate the drug addicts for treatment and rehabilitation. Many ex-drug takers were successfully treated and rehabilitated. Sir, though at present the size of drug abuse population has been reduced in 4 number, the problem, I understand, has taken on a new facet. We are facing new problems in treating a group of ex-drug takers who have relapsed at least once. These are the hard-core addicts. I have a few of them in my constituency. The Government has introduced a tougher supervision scheme to supervise this group of people. What further steps are being taken by the Ministry to provide more intensive care and effective rehabilitation programme? Sir, may I get an assurance and an answer from the Minister?"
"17","asked Minister for National Development whether there are plans to develop the vacant land at Pine Grove, next to the Ulu Pandan Canal, facing Blocks 1C,lD and 1E."
"18","asked Minister for Foreign Affairs and Minister for Community Development whether there are plans to floodlight some of the stadiums/athletic centres in Housing and Development Board estates."
"19","asked Minister for the Environment whether there are plans to repair and renovate the mosque at Palmer Road."
"20","This mosque is one of the mosques located in our city, and it is also the focal point of not only local Muslims but also Muslims who visit our city. The question I wish to ask is: can these renovation works be expedited because the mosque is now in a bad state of disrepair?"
